27.760776145831,100,chebyshev
106.60830068784,100,circle
115.48161162104,100,gauss
175.82075713774,100,logistic
203.01538512982,100,sine
90.282329185911,100,singer
279.47719082451,100,sinu

Preliminary trials=10 CRao 2
242.9624203384,10,bernoulli
1637.951374185,10,chebyshev
156.01074748538,10,circle
202.97426205992,10,gauss
554.38488035853,10,logistic
641.23405192543,10,sine
464.50810707554,10,singer
319.82443914008,10,sinu
403.05557218902,20,bernoulli
1062.0855624414,20,chebyshev
161.44473350664,20,circle
239.75704951177,20,gauss
757.57320792369,20,logistic
595.11136279753,20,sine
396.75341765954,20,singer
304.37629330828,20,sinu
434.38426332234,30,bernoulli
1178.2308206033,30,chebyshev
198.183633881,30,circle
251.02866308227,30,gauss
692.36975664709,30,logistic
708.46977832566,30,sine
596.10653184601,30,singer
386.26285490513,30,sinu
300.30330852206,40,bernoulli
1067.4904950818,40,chebyshev
171.90362956072,40,circle
262.15371483241,40,gauss
687.16512552512,40,logistic
786.60785916439,40,sine
518.85934511612,40,singer
320.41282181569,40,sinu
320.24221954139,50,bernoulli
1034.6309585552,50,chebyshev
167.01879117283,50,circle
228.84011687157,50,gauss
762.40212793834,50,logistic
722.89791260594,50,sine
756.86447708011,50,singer
381.46870868107,50,sinu
392.81003246383,60,bernoulli
1056.0655508669,60,chebyshev
202.36903737934,60,circle
274.34319594458,60,gauss
608.49275172664,60,logistic
749.08433459188,60,sine
492.16946413854,60,singer
354.50746427917,60,sinu
377.57479336042,70,bernoulli
1039.8101611495,70,chebyshev
185.24353672246,70,circle
287.2776016882,70,gauss
745.71842919364,70,logistic
720.00441539214,70,sine
762.29701481858,70,singer
369.93129953777,70,sinu
447.38234473714,80,bernoulli
1124.4311453411,80,chebyshev
222.88228479097,80,circle
270.6808315021,80,gauss
563.77837986037,80,logistic
664.98291739765,80,sine
422.25575005543,80,singer
543.33480423864,80,sinu
309.61620630349,90,bernoulli
736.04815549828,90,chebyshev
201.75913906444,90,circle
272.30529693289,90,gauss
770.35034914936,90,logistic
524.19124975641,90,sine
626.38401098151,90,singer
603.569363175,90,sinu
351.60084173176,100,bernoulli
761.02752112642,100,chebyshev
221.52545061836,100,circle
259.22166699604,100,gauss
597.0453348099,100,logistic
575.12746145141,100,sine
552.38981719643,100,singer
395.05187931758,100,sinu

Preliminary trials=10 CRao 3
235.98458851051,10,bernoulli
362.69034378291,10,chebyshev
188.8550364581,10,circle
194.86252288565,10,gauss
580.72863007392,10,logistic
478.75312455797,10,sine
760.85698105769,10,singer
259.24306180896,10,sinu
317.6135270361,20,bernoulli
387.19296552987,20,chebyshev
221.77956481045,20,circle
234.70664477387,20,gauss
384.62223965029,20,logistic
478.27213834261,20,sine
319.88538105007,20,singer
450.00591666554,20,sinu
342.37765704974,30,bernoulli
330.05533651063,30,chebyshev
207.4662033877,30,circle
264.11165486654,30,gauss
388.41386658351,30,logistic
483.18458062241,30,sine
245.04359826208,30,singer
443.13329044789,30,sinu
230.34694832757,40,bernoulli
309.74979007288,40,chebyshev
174.92766116553,40,circle
241.04218023393,40,gauss
436.47852418512,40,logistic
530.2592440575,40,sine
697.53894147759,40,singer
522.41116260179,40,sinu
320.4979285689,50,bernoulli
442.94460407965,50,chebyshev
262.8884437902,50,circle
254.26014898516,50,gauss
420.80212191217,50,logistic
658.18262142686,50,sine
184.48430881475,50,singer
488.52821005718,50,sinu
307.44658816406,60,bernoulli
272.47342483465,60,chebyshev
210.99502416181,60,circle
201.36703431275,60,gauss
394.1194022567,60,logistic
570.31610593871,60,sine
273.90005280457,60,singer
456.67928703734,60,sinu
367.07603606751,70,bernoulli
253.8322439733,70,chebyshev
248.72395349783,70,circle
308.07359615672,70,gauss
428.81498860283,70,logistic
545.84506826915,70,sine
208.45796990503,70,singer
649.06482145972,70,sinu
279.37499287661,80,bernoulli
136.75701255703,80,chebyshev
208.17163189239,80,circle
220.0396824657,80,gauss
327.8103832496,80,logistic
450.12909963157,80,sine
265.5510950033,80,singer
448.87705153672,80,sinu
336.38590498711,90,bernoulli
392.07488718956,90,chebyshev
269.79710649141,90,circle
286.68455216287,90,gauss
513.54283889817,90,logistic
576.01670068617,90,sine
216.26117393292,90,singer
476.10536882921,90,sinu
305.35909968527,100,bernoulli
162.34143429509,100,chebyshev
246.86517156168,100,circle
238.26483792187,100,gauss
680.11004592498,100,logistic
599.03649285007,100,sine
215.99582325089,100,singer
389.14448953928,100,sinu

CRao1 Cheby, p=10, trials=30





























































































NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
NAN
117.6
117.6
31.2
36
25.2
8.4
10.8
352.8
72
72
24
360
36
215
48
360
324
60
48
60
60
300
120
90
210
48
70
239
82
62
170
192
18
50
60
42
60
444
42
114
1248
2400
1368
973
400
2400
420
252
107
571.4
98.8
155
750
2120
370
1181
278
8.4
4560
720
458
2460
162
150
636
882
444
192
576
432
72
300
300
240
600
756
1200
97
409
703
1350
480
599
430
4178.2
1772.5
1645.9
1924.5
648
8211
480
12
38
